grade,Year,emp_length,acc_open_past_24mths_x,annual_inc_x,bc_util_x,dti_x,inq_last_6mths_x,mo_sin_old_rev_tl_op_x,mo_sin_rcnt_rev_tl_op_x,mo_sin_rcnt_tl_x,mort_acc_x,mths_since_recent_bc_x,num_accts_ever_120_pd_x,num_actv_bc_tl_x,num_il_tl_x,num_bc_sats_x,open_acc_x,pub_rec_bankruptcies_x,pub_rec_x,recoveries_x,tot_cur_bal_x,total_bc_limit_x
A,2014,10+ years,8,120000,52.7,18.03,0,262,15,2,8,15,4,2,12,2,11,0,0,0,397865,5800
D,2014,< 1 year,3,37500,32.2,35.26,0,194,11,11,0,29,0,3,12,8,17,0,0,0,35148,49600
A,2014,9 years,6,90780,52.1,14.38,0,111,6,6,0,6,0,2,9,3,6,0,0,0,34470,22500
F,2014,3 years,4,40000,26.2,11.1,0,40,22,22,0,22,0,3,0,3,7,0,0,0,3145,7300
B,2014,10+ years,0,60000,59.8,8.48,0,148,49,28,0,96,0,5,3,6,11,0,0,0,10553,6400
A,2014,7 years,3,50000,28.8,14.23,0,117,20,5,1,45,0,3,11,5,12,0,0,0,246978,2400
B,2014,10+ years,1,38000,95.5,27.98,0,310,22,22,3,33,1,3,5,4,11,0,0,0,31969,25800
C,2014,10+ years,3,60000,85.2,15.1,0,156,11,9,0,14,2,5,7,5,7,0,0,0,23416,11000
C,2014,2 years,4,62000,11.5,22.47,0,148,14,3,3,14,1,2,8,3,8,0,0,0,46894,30400
D,2014,< 1 year,10,57000,38.7,24.25,5,84,3,3,0,3,0,5,21,7,27,0,0,0,92600,28800
C,2014,10+ years,8,130000,66.8,11.95,2,234,1,1,3,1,2,7,10,11,22,0,0,0,36895,29000
D,2014,4 years,4,38000,66.1,22.05,0,106,4,4,0,4,0,4,26,4,24,0,0,0,106243,14100
B,2014,< 1 year,9,54000,33.7,22.6,1,247,1,1,1,4,0,6,9,8,19,0,0,0,23309,32100
B,2014,6 years,5,83054,56.8,24.1,1,169,5,5,7,5,0,5,13,6,12,0,0,0,280426,42400
C,2014,9 years,6,82000,18.8,29.86,2,113,11,3,7,11,0,1,24,3,16,0,0,0,337276,15700
B,2014,6 years,4,60116,12.8,3.39,0,135,12,4,1,12,2,1,2,3,9,0,3,0,237837,12000
D,2014,< 1 year,2,51590,83.9,36.96,0,128,46,4,0,128,1,1,10,1,7,0,0,0,55962,3000
C,2014,10+ years,3,60000,0,15.04,0,297,52,3,3,52,0,0,6,1,6,0,0,0,25154,1000
A,2014,1 year,2,50000,30.6,4.94,0,62,4,4,0,4,0,2,4,2,6,0,0,0,15012,14500
E,2014,2 years,12,60000,47.7,21.76,0,93,5,3,0,5,0,6,13,8,30,0,0,0,117688,17400
D,2014,10+ years,2,120000,53.7,8.52,0,159,55,7,6,137,2,2,4,2,4,0,0,0,25770,16800
C,2014,10+ years,2,45000,77.4,13.36,1,136,5,5,2,49,0,2,1,2,15,1,1,0,122131,7400
B,2014,6 years,6,50000,51,24.99,1,217,4,4,0,4,0,3,15,3,11,0,0,0,34958,13100
E,2014,6 years,4,40000,25.8,34.38,1,229,14,6,0,14,0,7,13,8,17,0,0,0,54674,26000
C,2014,3 years,10,75000,59.5,16.67,2,109,3,2,0,3,2,7,3,8,15,0,0,0,44392,20900
D,2014,6 years,4,60107.92,55.6,22.9,2,398,1,1,3,4,0,4,10,4,10,0,0,0,197973,15500
C,2014,8 years,2,53000,0,12.66,1,189,0,0,0,52,0,0,9,7,10,0,0,0,15470,32700
A,2014,7 years,1,44466,58.7,22.05,0,154,75,20,2,75,2,5,4,5,7,0,0,0,31833,24300
D,2014,7 years,4,67320,68.4,23.07,1,122,2,2,1,2,0,6,11,7,14,0,0,0,231043,40800
B,2014,6 years,5,100000,70.5,18.12,0,96,3,3,1,3,0,2,21,4,18,0,0,0,243062,15500
D,2014,3 years,8,48000,66,16.65,2,450,2,2,2,2,0,6,6,16,8,1,1,0,8547,9250
B,2014,7 years,1,51147,82.4,34.81,0,173,31,17,2,34,1,3,21,3,15,0,0,0,281147,9100
F,2014,5 years,5,116000,94.7,10.91,0,109,9,9,2,9,0,4,4,4,7,0,0,0,195075,30800
C,2014,3 years,6,39000,100.6,26.52,1,104,3,3,2,16,1,1,12,1,13,0,0,0,185444,6200
B,2014,10+ years,4,40000,73.3,24.66,2,157,5,1,1,24,0,3,9,3,8,0,0,0,224500,17400
B,2014,8 years,4,36000,68.1,23.53,1,117,37,4,3,37,0,1,14,1,5,0,0,0,136193,6000
E,2014,3 years,8,66200,95,37.58,2,37,15,3,2,26,2,3,43,3,13,0,1,0,149280,4400
C,2014,5 years,6,49875,53.6,17.76,0,169,2,2,3,3,1,4,3,7,14,0,0,0,24842,18000
A,2014,< 1 year,4,85000,15.7,7.88,1,118,21,5,0,21,0,3,17,4,11,0,0,0,29989,38000
D,2014,1 year,2,55000,86.3,16.8,1,305,1,1,0,1,0,5,0,6,9,0,0,0,16732,17200
C,2014,3 years,7,65000,93.2,10.82,2,148,73,6,3,73,0,2,8,2,6,0,0,0,122483,6500
F,2014,10+ years,10,75000,101.1,28.02,1,165,9,9,0,10,1,10,3,10,21,0,0,0,48488,23800
A,2014,6 years,5,54000,23.9,17.98,0,148,11,11,0,33,0,3,26,4,19,0,0,0,66154,32900
E,2014,10+ years,7,90000,74.6,18.86,4,208,4,3,0,22,0,2,8,5,15,0,0,0,82112,48000
D,2014,10+ years,5,80000,52.4,30.33,1,421,22,13,2,26,1,3,10,4,16,0,0,0,193288,9900
B,2014,2 years,7,100000,91.4,10.84,0,166,6,3,4,24,0,2,3,2,12,0,0,0,65822,11000
A,2014,2 years,3,82000,56.3,26.71,0,300,1,1,6,1,0,2,7,2,8,0,0,0,212092,35000
A,2014,10+ years,5,109000,12.7,1.55,0,138,1,1,4,12,1,2,1,2,5,0,0,0,271047,13200
C,2014,3 years,1,34000,99.9,32.4,0,344,47,19,0,112,0,1,3,1,7,0,0,0,24744,16200
A,2014,3 years,1,49696,81.2,20.43,1,109,54,18,0,54,0,2,24,2,18,0,0,0,182875,17000
A,2014,2 years,3,90000,48.5,24.52,0,106,10,10,2,10,0,4,15,5,18,0,0,0,173750,38900
E,2014,7 years,4,49000,88,24.61,0,197,16,9,2,20,0,9,4,10,16,0,0,0,163480,27700
B,2014,7 years,5,62400,20.3,6.4,0,455,3,3,0,16,1,2,5,2,9,0,0,0,4514,2000
A,2014,10+ years,4,118800,58.5,25.79,1,85,11,11,2,11,0,10,10,11,18,0,1,0,245966,48200
F,2014,7 years,11,78000,49.1,16.73,0,28,1,1,0,2,0,6,3,7,13,0,0,0,22972,28600
F,2014,8 years,9,99000,80.8,20.07,1,106,1,1,0,1,0,7,8,9,16,0,0,0,53072,27400
C,2014,6 years,5,41000,99.1,15.66,0,431,11,11,1,13,1,3,11,3,10,1,1,0,107581,4600
D,2014,10+ years,4,21000,74.4,19.49,1,130,16,6,4,16,0,4,12,5,9,0,0,0,78694,9200
B,2014,1 year,6,130000,80,14.12,1,129,1,1,1,19,0,4,10,5,10,0,0,0,78956,7800
C,2014,5 years,3,30000,88,29.76,3,58,9,9,0,13,0,2,7,2,9,0,0,0,29708,2500
C,2014,10+ years,0,79000,84.9,9.47,0,122,38,30,2,38,1,3,2,4,6,0,0,0,238458,15800
B,2014,10+ years,0,82000,99.3,18.39,0,315,25,25,0,25,0,7,6,7,17,0,0,0,50149,32500
B,2014,10+ years,1,51000,88.4,18.38,0,114,9,9,0,25,1,4,10,4,8,0,0,0,25560,9200
B,2014,2 years,8,40000,20.1,13.65,0,112,1,1,7,21,4,4,6,5,14,2,2,0,13043,6700
C,2014,4 years,2,110000,100.7,15.12,0,242,72,9,1,72,0,1,7,1,5,0,0,0,49345,1500
A,2014,9 years,2,127000,91.8,37.2,1,371,5,5,1,5,0,6,9,6,14,0,0,0,78946,67000
A,2014,3 years,11,34000,33.4,29.57,1,104,5,5,0,14,0,5,26,6,36,0,0,0,110861,30700
A,2014,8 years,4,225000,35.6,10.59,1,257,7,7,4,7,0,4,12,4,9,0,0,0,95531,18600
B,2014,< 1 year,0,26000,96.5,30.98,0,167,46,46,0,53,0,2,7,2,12,0,0,0,21921,8600
B,2014,7 years,2,55770,36.7,6.77,0,187,2,2,0,83,1,3,1,5,11,0,6,0,7469,16300
D,2014,6 years,12,75000,35,28.64,2,147,3,2,3,3,2,4,8,8,14,2,2,0,134560,17100
B,2014,4 years,2,140000,85,9.08,0,204,17,17,2,17,0,4,4,4,10,0,0,0,204318,28600
D,2014,1 year,4,67200,59.3,15.93,0,231,15,4,2,15,0,4,1,4,10,0,0,0,42265,25800
B,2014,< 1 year,3,119400,91.5,26.54,1,217,33,3,2,33,0,2,10,2,9,0,0,0,519501,28400
B,2014,10+ years,3,45000,71.9,27.92,0,161,2,2,3,2,0,4,6,4,9,1,1,0,29188,12600
A,2014,10+ years,1,63000,75.5,22.95,0,297,50,23,5,53,0,2,2,4,9,0,0,0,155680,18300
C,2014,10+ years,2,65000,39.6,27.05,1,157,1,1,0,1,0,2,4,4,8,0,0,0,32274,41000
A,2014,3 years,1,60000,44.9,6.36,1,97,28,10,1,33,0,1,6,4,8,0,0,0,190008,14800
B,2014,3 years,3,91291,75.8,27.92,0,190,17,2,2,23,0,8,10,8,16,0,0,0,398103,47600
C,2014,10+ years,6,67000,54.3,13.43,0,105,2,2,3,2,0,3,4,4,11,0,0,0,274600,12000
C,2014,2 years,5,41000,81.7,25.79,0,103,5,5,0,11,0,8,1,8,10,0,0,0,42135,21900
A,2014,5 years,8,35000,27.5,33.4,0,102,8,8,0,8,0,2,10,5,16,0,0,0,30435,16300
A,2014,10+ years,4,110000,39.4,15,0,259,4,4,2,71,0,3,10,4,13,0,0,0,129470,39500
A,2014,10+ years,10,80000,86,19.55,0,416,13,8,6,14,1,4,8,4,19,0,0,0,133170,9100
D,2014,10+ years,0,45000,95.5,20.27,1,299,28,28,0,28,1,2,7,2,7,0,0,0,12613,10000
A,2014,10+ years,3,62600,41.9,21.53,0,160,13,3,1,90,0,1,9,1,10,0,0,0,185784,2800
C,2014,10+ years,1,48000,89.1,11.35,0,32,16,16,0,32,0,1,2,1,4,0,0,0,12973,800
G,2014,< 1 year,2,145000,71.8,5.08,0,92,21,12,0,21,0,1,31,2,28,0,0,0,281788,1300
C,2014,10+ years,2,102200,6.2,30.16,0,276,27,14,3,121,0,1,7,1,12,0,0,0,382112,7100
C,2014,10+ years,4,53737,62.7,38.16,0,316,16,6,3,36,0,6,5,6,13,1,1,0,215719,13200
A,2014,6 years,1,63000,68.5,6.44,0,143,8,8,0,77,1,2,3,3,5,0,0,0,17556,2100
B,2014,2 years,1,47000,46.1,9.32,0,133,25,22,0,25,1,2,3,4,9,0,0,0,13551,14300
F,2014,10+ years,5,70000,47.5,25.17,3,249,3,3,9,3,0,4,7,5,10,1,1,0,32517,8800
B,2014,3 years,2,115000,33,14.72,1,118,5,5,0,26,0,2,15,5,16,0,0,0,75721,8300
F,2014,6 years,5,61000,48,28.03,5,217,3,3,1,7,1,9,13,9,16,0,0,0,90339,19300
A,2014,10+ years,3,105000,6.5,13.69,2,402,1,1,2,1,0,8,14,10,29,0,0,0,159975,101700
C,2014,9 years,4,60000,31.9,21.68,0,203,10,10,2,10,0,3,6,5,12,0,0,0,207318,40300
C,2014,8 years,16,128357,89.5,26.05,0,167,5,5,2,5,6,13,19,13,29,0,0,0,348958,26000
D,2014,10+ years,3,85000,76.2,12.93,1,491,5,5,3,5,1,3,8,5,12,0,0,0,273004,10500
A,2014,10+ years,2,92456,42.8,10.56,0,213,19,4,0,19,1,4,9,4,10,0,0,0,38900,15200
B,2014,10+ years,1,45000,64.5,12.4,0,235,3,3,1,95,1,1,2,1,3,0,0,0,66139,25000
D,2014,10+ years,4,55000,88.7,29.85,0,149,75,6,2,85,2,1,8,1,9,0,0,0,234421,1200
A,2014,10+ years,3,67000,48.6,7.68,1,125,7,6,3,7,0,3,12,5,11,0,0,0,226791,21400
C,2014,10+ years,4,75000,39.9,17.94,2,147,2,2,0,2,0,11,8,11,18,0,0,0,29328,52200
C,2014,1 year,3,62000,91.2,18.22,0,140,1,1,0,13,6,2,7,2,8,0,0,0,12512,600
B,2014,10+ years,7,198000,100.9,22.14,3,279,3,3,8,10,0,4,11,4,18,0,0,0,973424,49800
B,2014,10+ years,6,26000,16.9,20.78,0,195,13,10,0,70,0,1,6,1,9,1,1,355.64,11178,2800
B,2014,5 years,6,105000,67.6,18.07,1,229,1,1,5,1,0,5,17,6,16,0,0,0,388739,49200
A,2014,3 years,5,59000,76,16.84,0,133,4,4,0,4,0,6,7,8,18,0,2,0,23816,15300
B,2014,2 years,6,32200,60.8,15.69,0,239,5,5,2,5,2,1,4,2,9,0,0,0,169525,5000
D,2014,10+ years,6,106000,80.9,34.39,1,267,1,1,0,1,2,3,11,3,15,0,0,0,93724,3500
C,2014,2 years,4,53400,97.8,26.38,1,226,7,7,6,25,0,6,8,6,15,0,0,0,150198,11000
A,2014,10+ years,3,58000,21.1,16.24,0,190,8,8,0,8,0,5,3,11,16,0,0,0,18738,68500
B,2014,8 years,5,80000,19.6,11.03,0,145,1,1,0,9,0,6,6,6,17,0,0,0,19072,26000
B,2014,5 years,11,52000,36.6,17.31,3,150,2,2,0,9,0,7,2,11,22,0,0,0,20916,52200
A,2014,< 1 year,3,60000,52.9,20.42,1,135,14,14,1,16,0,3,5,4,10,0,0,0,172618,23700
D,2014,3 years,2,40200,65.5,36.72,1,98,17,17,0,17,0,3,24,4,18,0,0,0,103598,16600
A,2014,10+ years,1,60000,80,22.58,0,150,47,9,3,47,0,4,6,5,12,0,1,0,200280,11600
B,2014,4 years,3,100000,73.8,8.79,0,179,6,6,2,6,0,4,8,6,13,0,0,0,193456,40100
C,2014,4 years,6,60000,59.7,14.33,0,114,9,9,0,9,3,4,6,6,9,1,1,0,34515,10400
D,2014,10+ years,4,80000,68.8,22.82,0,236,8,5,0,17,0,4,3,4,13,0,0,0,66298,30600
B,2014,4 years,5,93000,57.7,10.95,0,108,3,3,1,3,0,5,14,6,14,0,0,0,135418,32400
B,2014,6 years,4,106451,33.3,13.3,1,150,5,5,4,5,0,4,12,7,16,0,0,0,281807,58200
C,2014,10+ years,11,75000,27.3,13.04,2,255,0,0,6,0,3,3,4,4,13,0,0,0,280404,16700
E,2014,8 years,3,68343,79.7,32.64,0,238,14,8,5,14,0,4,4,4,11,0,0,0,210124,19300
B,2014,1 year,1,40000,72.5,7.69,0,91,3,3,0,3,1,2,6,3,4,0,0,0,2970,3000
B,2014,8 years,6,68000,16.2,15.74,0,195,8,3,5,8,0,2,13,4,10,0,0,0,232549,22500
C,2014,10+ years,1,50000,58.1,26.81,1,162,30,20,0,30,0,3,12,6,13,0,0,0,53483,22200
A,2014,2 years,3,90000,79.9,23.28,0,123,3,3,6,118,0,2,11,2,11,0,0,0,401124,20000
B,2014,1 year,3,72000,74.6,23.45,0,108,7,7,0,11,2,3,17,4,16,0,0,0,40887,10900
C,2014,10+ years,4,54000,100.3,19.98,1,237,3,3,0,94,0,1,5,1,4,0,0,0,39237,15000
B,2014,10+ years,0,148000,57.4,16.96,0,131,27,27,0,27,0,5,6,6,13,0,0,0,81814,43000
B,2014,1 year,1,115000,92.3,19.96,0,143,35,14,0,44,0,4,9,4,10,0,0,0,69716,26300
B,2014,9 years,6,80000,60.9,20.48,1,269,4,4,3,4,0,3,6,4,16,0,0,0,48099,19500
B,2014,10+ years,4,149847,80.1,12.38,2,247,5,5,4,5,2,3,7,3,13,0,0,0,656726,21000
B,2014,8 years,2,95000,81.6,12.53,2,124,16,9,6,82,2,2,5,2,9,0,0,0,275293,4400
D,2014,3 years,3,250000,73.5,8.46,0,147,23,20,1,27,0,2,10,2,8,0,0,0,564465,26500
B,2014,4 years,1,55000,95,8.99,0,189,46,18,1,76,0,2,5,2,6,0,0,0,184280,3300
A,2014,2 years,1,63000,37.5,3.83,0,168,14,14,0,14,0,2,25,4,5,0,0,0,165194,23800
B,2014,10+ years,2,65000,78.8,18.36,0,172,19,19,0,19,0,4,3,4,6,0,0,0,28051,25000
C,2014,2 years,6,65000,89.5,22.52,3,126,3,3,1,25,6,2,29,2,27,0,0,0,347799,10100
A,2014,3 years,2,60000,78.9,16.32,0,89,34,12,0,34,0,3,7,3,8,0,0,0,50797,5600
B,2014,8 years,0,139000,98.4,10.54,0,205,28,28,2,37,0,6,3,6,9,0,0,0,75795,94800
C,2014,< 1 year,8,60000,27.3,13.7,0,148,5,2,0,5,0,4,4,7,17,0,1,0,39923,12400
A,2014,8 years,1,90000,92.7,18.24,0,288,39,17,0,39,0,11,8,12,20,0,0,0,33483,12200
C,2014,5 years,3,32000,35.6,33.2,0,171,3,3,0,14,0,2,2,2,4,0,0,0,25414,9200
A,2014,10+ years,3,113000,64.8,13.79,0,285,4,4,1,4,0,15,10,16,19,0,0,0,312117,46400
A,2014,1 year,3,200000,34.2,2.13,1,104,16,16,3,36,0,3,1,3,4,0,0,0,686349,60500
B,2014,10+ years,3,90000,70.1,17.07,1,168,2,2,2,13,0,2,3,2,10,0,0,0,364096,5300
B,2014,10+ years,3,100000,73.3,5.67,1,350,4,4,5,4,1,6,16,6,8,0,0,0,18644,17100
B,2014,10+ years,3,50000,45.7,16.63,0,362,5,5,8,5,0,9,6,10,16,0,0,0,127992,31500
A,2014,1 year,8,70000,89.1,23.61,0,161,13,13,1,62,0,4,28,4,23,0,0,0,410972,38700
E,2014,< 1 year,9,42000,92.8,34,1,117,7,6,0,7,1,7,48,8,30,0,0,0,238941,18100
A,2014,7 years,4,75000,35.9,19.89,1,144,18,4,4,18,0,2,8,4,13,0,0,0,235811,36500
A,2014,5 years,6,195000,48.7,15.13,0,215,4,4,4,98,0,2,29,2,14,0,0,0,398344,13800
B,2014,10+ years,3,72000,96.3,21.75,1,151,18,3,0,51,0,2,8,2,9,0,0,0,38064,10900
A,2014,5 years,1,72012,66.9,14.33,0,173,3,3,2,3,3,4,3,4,6,0,0,0,18532,5300
C,2014,2 years,6,62000,54.6,16.28,0,177,13,13,2,13,0,3,9,5,14,0,0,0,43323,34000
A,2014,< 1 year,4,28000,40.9,25.33,0,166,6,6,0,6,0,4,6,6,13,0,0,0,44766,20200
C,2014,6 years,3,63500,61.2,24.47,0,160,9,9,0,9,0,4,11,4,9,0,0,0,32249,33700
C,2014,< 1 year,3,76000,71.5,11.27,0,203,9,9,2,19,0,4,8,6,14,0,0,0,230624,32800
D,2014,10+ years,5,90000,22,20.32,0,283,9,9,4,19,0,4,8,7,19,0,0,0,416102,44400
B,2014,8 years,3,86000,62.9,17.78,0,330,20,18,4,20,0,5,4,7,14,0,0,0,229557,42300
B,2014,10+ years,4,55049,41.9,7.02,0,201,36,3,2,36,1,2,25,3,12,0,0,0,82749,4800
C,2014,7 years,6,140000,100.7,22.38,0,149,11,5,4,11,0,4,6,4,10,0,0,0,577748,38100
C,2014,10+ years,4,55000,72.7,25.7,0,122,18,18,0,53,2,3,8,3,8,0,0,0,39018,11500
F,2014,1 year,2,67000,99.6,33.67,0,383,32,10,4,32,0,3,13,3,14,0,0,0,152014,13000
B,2014,10+ years,1,70000,94.8,11.95,1,280,48,24,1,48,0,2,4,2,7,0,0,0,241394,12700
B,2014,7 years,2,31000,53.2,36.59,0,170,6,6,4,6,0,1,7,1,6,0,0,0,14397,10800
C,2014,10+ years,5,48000,54.5,17.15,0,237,10,10,1,10,0,8,1,10,17,0,0,0,187218,38000
C,2014,10+ years,1,67000,48.2,4.16,0,276,20,20,2,20,0,2,0,3,4,0,0,0,148153,24000
C,2014,2 years,6,75000,17.7,19.5,0,116,8,6,0,8,0,7,4,7,11,0,0,0,60118,32100
B,2014,8 years,6,70000,49.3,33.52,0,156,18,9,3,18,0,6,14,6,12,0,0,0,224261,42300
D,2014,7 years,1,148000,55.9,3.14,3,86,19,19,1,54,0,3,19,3,6,0,0,0,12055,12500
B,2014,10+ years,5,57000,57,12.66,1,203,12,12,0,12,0,4,7,5,13,1,1,0,38245,13200
C,2014,4 years,2,35000,72.4,26.67,0,123,22,5,0,22,0,6,14,9,13,0,0,0,39559,31600
A,2014,10+ years,9,63600,54.2,23.83,1,58,3,3,3,3,0,4,8,8,15,0,0,0,229096,25600
C,2014,4 years,7,41500,97.5,27.33,0,132,8,8,4,13,0,2,19,2,10,0,0,0,179937,12100
C,2014,2 years,6,42000,93.7,27.11,0,108,1,1,1,1,0,3,4,3,10,0,0,0,113405,9200
A,2014,< 1 year,1,35640,20.4,26.84,0,262,4,4,0,31,0,3,11,7,13,0,0,0,52221,89700
C,2014,10+ years,5,74246,85.2,31.36,1,255,23,13,1,25,0,5,19,5,19,0,0,0,228943,37800
C,2014,3 years,6,130000,32.9,14.38,0,152,2,2,4,2,0,2,6,6,10,0,0,0,203072,44800
D,2014,6 years,2,200000,88,9.85,0,267,2,2,3,2,0,2,2,3,11,0,0,0,185734,38500
A,2014,2 years,5,135000,11.3,10.42,0,126,3,3,1,3,0,2,14,3,15,0,0,0,233498,5500
A,2014,3 years,0,75000,57.8,20.67,1,156,27,26,1,56,0,4,4,4,9,0,0,0,302124,26000
C,2014,10+ years,6,46828.82,66.6,27.81,1,356,9,5,1,9,2,5,6,5,9,0,2,0,41026,10000
B,2014,4 years,0,75000,41,16.05,0,184,37,35,2,64,1,4,4,5,10,0,0,0,337323,44300
C,2014,3 years,8,57000,54.9,20.63,1,77,10,10,0,10,0,5,4,6,15,0,0,0,84151,15100
D,2014,10+ years,0,144000,98.8,10.26,0,183,79,79,2,79,0,3,1,3,3,0,0,0,19461,19700
A,2014,7 years,2,51000,90.5,23.88,0,157,6,6,0,6,0,5,17,5,14,0,0,0,78962,14100
C,2014,10+ years,10,89000,89.8,17.42,0,210,6,4,5,41,0,3,12,3,13,0,0,0,344230,18600
A,2014,< 1 year,6,38600,50.6,7.99,0,93,8,3,0,8,2,4,22,4,14,0,0,0,140355,8800
D,2014,10+ years,4,58000,90.3,36.24,0,330,5,5,1,5,0,7,9,7,15,0,0,0,88283,33200
D,2014,< 1 year,3,35000,94.8,21.81,1,146,10,10,1,10,2,3,4,3,8,0,0,281.75,20053,5900
A,2014,10+ years,6,41000,9.6,7.03,1,197,5,5,3,5,0,3,8,5,13,1,1,0,193874,25500
A,2014,10+ years,3,68140,79.3,17.82,0,120,25,2,5,25,0,4,13,6,10,0,0,0,183266,20800
B,2014,1 year,2,50000,86.2,32.51,1,64,12,2,0,12,1,3,23,3,11,0,0,0,140258,10500
B,2014,10+ years,1,52000,97.9,25.78,0,351,1,1,2,38,0,3,3,3,12,0,0,0,129253,10400
D,2014,10+ years,2,70000,91.6,32.66,0,233,7,7,3,7,1,7,7,7,18,0,0,0,188472,32700
C,2014,10+ years,6,125000,66.6,13.4,0,247,5,5,0,5,0,7,11,9,13,0,0,0,47521,55600
B,2014,7 years,5,150000,66.7,29.93,1,383,9,3,4,9,0,9,18,10,35,0,0,0,354160,69200
C,2014,10+ years,3,49545,45.8,38.32,2,180,5,5,2,5,0,3,5,3,11,0,0,0,170083,14500
B,2014,4 years,5,63000,66,7.26,1,191,3,3,0,3,2,2,8,2,6,1,1,0,12836,3800
E,2014,10+ years,7,45000,0,22.88,1,130,6,6,1,6,0,0,9,2,6,0,0,0,15551,3500
A,2014,4 years,1,38500,7.2,29.58,0,193,32,14,0,32,0,2,13,3,12,0,0,0,26462,23000
A,2014,< 1 year,0,68000,0.3,2.89,1,128,26,26,1,36,0,2,7,7,11,0,0,0,4108,35700
A,2014,3 years,2,40000,51.2,24.13,0,171,9,9,0,28,0,6,10,8,12,0,0,0,38766,34600
A,2014,4 years,7,125000,60.8,11.03,0,128,8,8,1,27,0,5,17,6,15,1,1,0,133813,7400
A,2014,10+ years,5,72000,56.5,27.75,0,283,17,11,3,68,6,2,9,2,9,0,0,0,153784,2300
D,2014,9 years,8,65000,71.6,17.54,2,178,3,2,1,11,0,3,5,3,9,0,0,0,183526,8500
C,2014,6 years,1,75000,12.7,17.49,1,195,49,3,3,70,1,2,8,5,9,0,0,0,44541,38200
A,2014,10+ years,4,50000,25.9,11.31,0,302,6,3,0,6,1,1,1,3,9,0,0,0,28836,9500
A,2014,7 years,4,54115,47.1,4.66,0,144,74,13,1,74,0,2,12,3,7,0,0,0,272706,3500
D,2014,3 years,9,40000,69.8,9.03,0,88,3,3,0,12,2,5,8,5,14,0,0,408.92,59886,5200
A,2014,4 years,7,50000,43.9,27.89,0,92,14,6,0,79,0,3,30,3,19,0,0,0,85824,18200
E,2014,6 years,2,100000,37.3,13.61,0,188,19,19,3,19,0,3,5,5,9,0,0,0,32755,60500
C,2014,< 1 year,0,87000,103.8,12.47,0,159,27,27,0,27,0,2,22,2,15,0,0,0,57822,9800
D,2014,5 years,2,150000,55.7,6.78,0,269,26,9,4,26,0,3,4,3,5,1,2,0,27335,5700
C,2014,10+ years,3,64000,20.5,17.31,2,205,5,5,2,5,0,3,8,5,8,0,0,0,37587,60300
A,2014,10+ years,4,150000,40.9,23.24,1,220,32,17,4,42,0,4,33,7,27,0,0,0,236280,26500
B,2014,5 years,1,58106,85.9,19.14,0,130,80,19,0,80,0,3,4,3,6,0,0,0,25650,22700
C,2014,3 years,1,44600,94.9,34.28,0,146,75,13,0,87,1,5,10,6,13,1,1,0,61748,13300
A,2014,2 years,1,31800,29.2,13.61,0,72,32,3,0,32,0,1,10,2,9,0,0,0,10629,8300
B,2014,7 years,6,117000,84.1,9.67,0,118,7,7,2,7,0,3,20,3,13,0,0,0,260165,10000
A,2014,< 1 year,6,82000,33.6,13.93,0,155,17,17,6,18,0,10,6,11,16,0,0,0,215517,38900
B,2014,10+ years,1,43000,95.5,27.21,0,202,4,4,1,4,0,6,3,6,9,0,0,0,34691,17500
B,2014,4 years,1,60000,36.6,19.98,0,123,9,9,0,9,0,7,7,7,16,0,0,0,35405,54400
B,2014,7 years,7,48000,71.5,16.7,1,262,3,3,1,16,0,4,7,4,12,1,1,0,20377,6900
C,2014,2 years,4,69000,74.2,23.01,1,226,8,8,3,8,0,3,7,3,12,0,0,0,202991,24900
B,2014,9 years,3,85000,84.8,20.05,0,183,3,3,4,3,0,4,4,6,15,0,0,0,318470,46300
C,2014,7 years,12,45000,91.6,17.28,1,216,2,2,1,20,0,2,10,2,16,1,1,0,16929,7300
C,2014,8 years,2,89918,100.9,12.01,0,98,9,9,0,44,0,2,2,2,8,0,0,0,27461,5000
C,2014,10+ years,3,55000,99.2,19.01,1,69,1,1,0,12,0,2,9,2,9,0,0,0,46526,3900
B,2014,10+ years,4,75000,31.8,10.62,2,405,3,3,5,3,0,2,11,3,13,1,1,0,172118,7900
B,2014,10+ years,3,91500,81.5,38.92,0,202,39,4,1,39,0,5,13,6,16,0,0,204.7,102447,48900
D,2014,4 years,9,77000,79.2,21.76,1,165,1,1,5,1,1,4,10,5,11,0,0,0,47202,16300
E,2014,< 1 year,2,60000,99,26.26,0,147,37,7,0,37,0,3,20,3,11,0,0,0,21023,6000
C,2014,5 years,4,55000,92.6,12.5,0,96,21,6,0,21,0,2,5,2,6,0,0,0,18438,2800
E,2014,9 years,14,225000,56.6,15.9,1,171,2,2,5,2,0,6,34,6,20,0,0,0,487782,31000
D,2014,3 years,5,48000,68.7,22.8,1,157,9,9,2,9,1,5,5,7,11,0,0,0,36308,28200
E,2014,3 years,13,30000,25,8.41,1,44,6,4,0,6,0,5,3,8,13,0,0,111.18,21272,26400
B,2014,2 years,0,30000,49,17.48,0,191,28,28,0,69,0,3,0,6,12,0,0,0,20250,41300
B,2014,10+ years,17,120000,11,23.86,0,349,0,0,4,2,0,9,15,14,28,0,0,0,358258,139900
E,2014,1 year,2,61959,0,18.07,0,119,42,9,0,42,0,0,5,1,5,1,1,0,37091,7700
